merchant_id,category,state,total_txn_count,total_volume,fraud_rate,risk_score,risk_label
MRC03697,POS_Fashion,Ogun,86,2255369.96,0.0930232558139534,0.9999994,Very High
MRC04732,POS_Fuel,Rivers,45,564378.6,0.1777777777777777,0.9999994,Very High
MRC01033,Online_Ecommerce,Lagos,53,1867357.43,0.0943396226415094,0.9999993,Very High
MRC01395,POS_Retail,Edo,69,727205.65,0.1884057971014492,0.99999917,Very High
MRC02950,Online_Travel,Lagos,63,8468372.21,0.1269841269841269,0.99999917,Very High
MRC04470,POS_Grocery,Anambra,84,707455.32,0.0952380952380952,0.99999917,Very High
MRC00215,POS_Fuel,Lagos,46,674800.74,0.108695652173913,0.99999905,Very High
MRC02297,POS_Grocery,Kano,98,806497.92,0.1326530612244898,0.9999989,Very High
MRC02377,Online_Gaming,Rivers,117,362596.43,0.1282051282051282,0.9999988,Very High
MRC04006,POS_Retail,Edo,51,529553.18,0.1372549019607843,0.9999987,Very High
MRC04298,POS_Restaurant,Lagos,50,279264.36,0.1,0.9999987,Very High
MRC01807,Online_Bills,Kaduna,64,819687.21,0.109375,0.9999987,Very High
MRC02559,POS_Restaurant,Abuja,105,519562.36,0.0952380952380952,0.99999857,Very High
MRC03628,POS_Electronics,Plateau,53,4376236.28,0.0943396226415094,0.99999857,Very High
MRC03386,POS_Fashion,Lagos,57,1304476.14,0.1052631578947368,0.99999845,Very High
MRC03688,POS_Retail,Lagos,70,662128.56,0.1,0.99999845,Very High
MRC01975,POS_Grocery,Benue,343,2752674.02,0.1166180758017492,0.99999833,Very High
MRC00738,POS_Grocery,Kano,50,405407.89,0.14,0.99999833,Very High
MRC00392,Online_Ecommerce,Lagos,66,2155003.18,0.1212121212121212,0.99999833,Very High
MRC03237,POS_Grocery,Imo,2625,21383081.26,0.1001904761904761,0.99999833,Very High
MRC00968,Transfer_P2P,Edo,62,1376532.96,0.1129032258064516,0.9999982,Very High
MRC02487,Online_Ecommerce,Abuja,142,5336509.86,0.0915492957746478,0.9999982,Very High
MRC00352,Online_Bills,Kaduna,178,2132105.86,0.1235955056179775,0.9999982,Very High
MRC02202,Online_Gaming,Lagos,53,207666.94,0.1509433962264151,0.9999981,Very High
MRC00453,Transfer_Business,Anambra,82,21900361.21,0.0975609756097561,0.9999981,Very High
MRC01946,POS_Retail,Edo,48,483834.83,0.1041666666666666,0.999998,Very High
MRC01139,POS_Pharmacy,Lagos,87,542998.45,0.1034482758620689,0.999998,Very High
MRC01742,Online_Travel,Bayelsa,116,18737040.82,0.1724137931034483,0.99999785,Very High
MRC03412,Online_Ecommerce,Lagos,50,1897408.64,0.1,0.99999785,Very High
MRC01950,Transfer_Payroll,Lagos,86,15163183.98,0.0930232558139534,0.99999774,Very High
MRC01416,POS_Retail,Enugu,62,631442.0599999999,0.0967741935483871,0.99999774,Very High
MRC04508,Transfer_Business,Oyo,115,28826021.87,0.1130434782608695,0.99999774,Very High
MRC02203,POS_Grocery,Oyo,67,560535.53,0.1492537313432835,0.9999976,Very High
MRC02914,POS_Fuel,Kano,178,2878852.33,0.1011235955056179,0.9999976,Very High
MRC02434,POS_Restaurant,Delta,46,275007.55,0.0869565217391304,0.9999975,Very High
MRC02468,Online_Gaming,Imo,45,91252.05,0.1333333333333333,0.9999975,Very High
MRC00684,POS_Retail,Enugu,50,556603.32,0.08,0.9999975,Very High
MRC00321,POS_Grocery,Oyo,112,908413.32,0.0982142857142857,0.9999975,Very High
MRC02676,Online_Bills,Lagos,45,515338.22,0.0888888888888888,0.9999975,Very High
MRC02602,POS_Grocery,Lagos,248,2071024.4,0.0887096774193548,0.9999975,Very High
