merchant_id,merchant_name,category,state,signup_date
MRC00001,Merchant_1,POS_Fuel,Abuja,2024-06-22
MRC00002,Merchant_2,POS_Retail,Rivers,2024-01-04
MRC00003,Merchant_3,Online_Ecommerce,Lagos,2024-08-19
MRC00004,Merchant_4,Online_Ecommerce,Delta,2024-09-24
MRC00005,Merchant_5,POS_Supermarket,Rivers,2024-08-18
MRC00006,Merchant_6,Transfer_P2P,Lagos,2024-09-18
MRC00007,Merchant_7,POS_Pharmacy,Lagos,2024-04-11
MRC00008,Merchant_8,POS_Retail,Oyo,2026-07-02
MRC00009,Merchant_9,POS_Retail,Lagos,2024-09-22
MRC00010,Merchant_10,Online_Travel,Enugu,2024-06-04
MRC00011,Merchant_11,Transfer_Business,Rivers,2025-05-04
MRC00012,Merchant_12,POS_Restaurant,Delta,2025-03-05
MRC00013,Merchant_13,Online_Ecommerce,Benue,2024-10-30
MRC00014,Merchant_14,Transfer_P2P,Kano,2024-05-29
MRC00015,Merchant_15,POS_Electronics,Anambra,2024-05-14
MRC00016,Merchant_16,POS_Retail,Edo,2024-03-12
MRC00017,Merchant_17,Transfer_Business,Cross River,2024-02-21
MRC00018,Merchant_18,POS_Grocery,Lagos,2024-05-09
MRC00019,Merchant_19,POS_Supermarket,Imo,2024-06-04
MRC00020,Merchant_20,Online_Travel,Bayelsa,2024-02-20
MRC00021,Merchant_21,POS_Fuel,Rivers,2025-04-05
MRC00022,Merchant_22,POS_Grocery,Abuja,2024-05-26
MRC00023,Merchant_23,POS_Pharmacy,Benue,2024-05-14
MRC00024,Merchant_24,POS_Grocery,Enugu,2024-04-12
MRC00025,Merchant_25,Online_Travel,Rivers,2024-01-11
MRC00026,Merchant_26,POS_Fashion,Anambra,2025-01-20
MRC00027,Merchant_27,POS_Retail,Abuja,2024-03-09
MRC00028,Merchant_28,POS_Retail,Lagos,2024-07-04
MRC00029,Merchant_29,POS_Pharmacy,Kano,2024-06-17
MRC00030,Merchant_30,POS_Fuel,Kano,2024-06-07
MRC00031,Merchant_31,POS_Retail,Imo,2024-05-14
MRC00032,Merchant_32,Online_Ecommerce,Oyo,2024-02-06
MRC00033,Merchant_33,Online_Travel,Imo,2024-02-29
MRC00034,Merchant_34,POS_Retail,Abuja,2024-05-13
MRC00035,Merchant_35,POS_Grocery,Kano,2024-10-07
MRC00036,Merchant_36,POS_Retail,Lagos,2024-04-11
MRC00037,Merchant_37,POS_Retail,Rivers,2024-02-11
MRC00038,Merchant_38,Online_Ecommerce,Osun,2024-01-17
MRC00039,Merchant_39,POS_Retail,Lagos,2024-07-14
MRC00040,Merchant_40,POS_Electronics,Imo,2024-04-09
MRC00041,Merchant_41,POS_Electronics,Abuja,2024-01-25
MRC00042,Merchant_42,POS_Grocery,Lagos,2024-07-21
MRC00043,Merchant_43,POS_Fuel,Lagos,2024-02-11
MRC00044,Merchant_44,Transfer_P2P,Ogun,2024-05-08
MRC00045,Merchant_45,POS_Restaurant,Abuja,2024-03-06
MRC00046,Merchant_46,POS_Fuel,Delta,2025-04-28
MRC00047,Merchant_47,Transfer_P2P,Kaduna,2024-02-16
MRC00048,Merchant_48,POS_Grocery,Abuja,2024-04-08
MRC00049,Merchant_49,POS_Retail,Oyo,2025-07-31
MRC00050,Merchant_50,Online_Ecommerce,Rivers,2024-03-10
MRC00051,Merchant_51,Online_Gaming,Plateau,2024-07-05
MRC00052,Merchant_52,Online_Bills,Abuja,2024-03-09
MRC00053,Merchant_53,Online_Gaming,Lagos,2024-01-22
MRC00054,Merchant_54,Transfer_Payroll,Abuja,2024-06-26
MRC00055,Merchant_55,Transfer_P2P,Delta,2025-03-21
MRC00056,Merchant_56,POS_Fuel,Kaduna,2024-04-18
MRC00057,Merchant_57,POS_Pharmacy,Cross River,2024-06-26
MRC00058,Merchant_58,POS_Restaurant,Ekiti,2024-06-17
MRC00059,Merchant_59,POS_Fuel,Abuja,2024-04-06
MRC00060,Merchant_60,POS_Pharmacy,Oyo,2024-06-20
MRC00061,Merchant_61,Online_Bills,Ogun,2024-02-24
MRC00062,Merchant_62,POS_Restaurant,Cross River,2024-03-26
MRC00063,Merchant_63,Transfer_Business,Abuja,2024-04-15
MRC00064,Merchant_64,POS_Grocery,Rivers,2024-12-25
MRC00065,Merchant_65,POS_Retail,Bayelsa,2024-03-18
MRC00066,Merchant_66,POS_Fuel,Abuja,2024-06-30
MRC00067,Merchant_67,POS_Restaurant,Oyo,2024-02-13
MRC00068,Merchant_68,Online_Ecommerce,Bayelsa,2024-02-22
MRC00069,Merchant_69,POS_Pharmacy,Anambra,2024-07-07
MRC00070,Merchant_70,POS_Grocery,Lagos,2024-09-15
MRC00071,Merchant_71,POS_Grocery,Abuja,2024-04-21
MRC00072,Merchant_72,POS_Retail,Abuja,2024-03-14
MRC00073,Merchant_73,POS_Retail,Cross River,2025-03-09
MRC00074,Merchant_74,POS_Restaurant,Abia,2024-01-27
MRC00075,Merchant_75,POS_Fuel,Edo,2024-08-17
MRC00076,Merchant_76,POS_Retail,Oyo,2024-07-29
MRC00077,Merchant_77,Online_Bills,Lagos,2024-07-29
